FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2014 ORDINANCE (AMOUNT $)
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,$8486.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$820.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$23263.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$34614.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$1649.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$19199.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$24168.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$5527.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$1487.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$721.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$44773.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$25368.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$70208.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$3875.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$2597.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$6036.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$2032.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$7592.00
Local,0100,CORPORATE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$12784.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,$937055.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,$6132.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,$4858.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$683.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$26317.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$58057.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$350.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$13386.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,$1200.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$29267.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$3489.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$2424.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$2688.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$7854.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$7681.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$24062.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$1615.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$2382.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$3800.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$1082.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$8248.00
Local,0200,WATER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$5434.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,$619361.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,$1452.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,$4858.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$519.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$5000.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$42080.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$325.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$12954.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,$1300.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$17292.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$3030.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$2284.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$1574.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$11530.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$6948.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$19856.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$1615.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$1430.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$3050.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$1082.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$12509.00
Local,0314,SEWER FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$6392.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,5,SALARIES AND WAGES - ON PAYROLL,$1128308.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,15,SCHEDULE SALARY ADJ,$5190.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,20,OVERTIME,$1624.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,130,POSTAGE,$710.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,138,PROF SERV-IT MAINT,$5000.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$28906.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,149,SOFTWARE MAINT/LICENSING,$1034.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,154,RENTAL-DATA HARDWARE EQ,$25612.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,155,RENTAL OF PROPERTY,$2500.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,157,RENTAL EQUIPMENT AND SERVICES,$30517.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,159,LEASE PURCHASE AGREEMNT,$5527.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,162,REPAIR/MAINT EQUIPMENT,$1151.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,166,DUES  SUBSC & MEM,$1573.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,169,TECHNICAL MEETING COSTS,$12843.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,181,MOBILE COMM SERVICES,$10724.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,189,TELEPHONE NON-CENTREX,$15258.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,245,REIMBURSEMENT TRAVELERS,$558.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,270,LOCAL TRANSPORTATION,$1615.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,320,GASOLINE,$3812.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,340,MATERIAL AND SUPPLIES,$4450.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,348,BOOKS AND RELATED MTL,$1082.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,350,STATIONERY AND OFFICE SUPPL,$6662.00
Local,0740,O'HARE REVENUE FUND,3,IG,2005,OFFICE OF INSPECTOR GENERAL,700,CONTINGENCIES,$7352.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$1592994.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJ,$7546.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,39,STUDENT AS TRAINEES,$37500.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,130,POSTAGE,$3200.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,140,PROF & TECHNICAL SERVICES,$4500.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,152,ADVERTISING,$1000.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,157,RENTAL EQUIPMENT AND SERVICES,$20000.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,169,TECHNICAL MEETING COSTS,$1000.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,181,MOBILE COMM SERVICES,$4986.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,190,TELEPHONE-CENTREX,$10000.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,197,TELEPHONE-MAINTENANCE,$4609.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,245,REIMBURSEMENT TRAVELERS,$500.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,270,LOCAL TRANSPORTATION,$500.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,348,BOOKS AND RELATED MTL,$400.00
Local,0100,CORPORATE FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,350,STATIONERY AND OFFICE SUPPL,$5400.00
Local,0200,WATER FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$115740.00
Local,0310,MOTOR FUEL TAX FUND,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$282732.00
Local,0B21,TIF ADMINISTRATION,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,5,SALARIES AND WAGES - ON PAYROLL,$161643.00
Local,0B21,TIF ADMINISTRATION,5,OFFICE OF BUDGET & MANAGEMENT,2005,OFFICE OF BUDGET & MANAGEMENT,15,SCHEDULE SALARY ADJ,$1632.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,$7470539.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJ,$18929.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,130,POSTAGE,$2000.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,138,PROF SERV-IT MAINT,$6814518.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,140,PROF & TECHNICAL SERVICES,$250000.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINT/LICENSING,$6563518.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,162,REPAIR/MAINT EQUIPMENT,$459500.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,166,DUES  SUBSC & MEM,$29500.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,169,TECHNICAL MEETING COSTS,$36600.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,181,MOBILE COMM SERVICES,$2521612.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,186,PAGERS,$8700.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,190,TELEPHONE-CENTREX,$454000.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,196,DATA CIRCUITS,$900000.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,197,TELEPHONE-MAINTENANCE,$16505.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,245,REIMBURSEMENT TRAVELERS,$3500.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,270,LOCAL TRANSPORTATION,$2500.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,340,MATERIAL AND SUPPLIES,$17300.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,348,BOOKS AND RELATED MTL,$3000.00
Local,0100,CORPORATE FUND,6,DOIT,2005,DOIT,350,STATIONERY AND OFFICE SUPPL,$7500.00
Local,0200,WATER FUND,6,DOIT,2005,DOIT,138,PROF SERV-IT MAINT,$1166000.00
Local,0200,WATER FUND,6,DOIT,2005,DOIT,139,PROF SERV-IT DEVELOPMENT,$1200000.00
Local,0200,WATER FUND,6,DOIT,2005,DOIT,140,PROF & TECHNICAL SERVICES,$4001364.00
Local,0200,WATER FUND,6,DOIT,2005,DOIT,149,SOFTWARE MAINT/LICENSING,$13300.00
Local,0346,LIBRARY FUND,6,DOIT,2005,DOIT,5,SALARIES AND WAGES - ON PAYROLL,$1176034.00
Local,0346,LIBRARY FUND,6,DOIT,2005,DOIT,15,SCHEDULE SALARY ADJ,$4661.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,5,SALARIES AND WAGES - ON PAYROLL,$6295891.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,17,CITY COUNCIL-SALARY INC,$8824000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,39,STUDENT AS TRAINEES,$140000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,181,MOBILE COMM SERVICES,$1350.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,190,TELEPHONE-CENTREX,$66000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,197,TELEPHONE-MAINTENANCE,$2800.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,245,REIMBURSEMENT TRAVELERS,$1000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,700,CONTINGENCIES,$43000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,982,EXP FOR HEROSIM,$1000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9008,TEXT FILE - EXTRA LONG,$4850000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9010,TEXT FILE - EXTRA LONG,$92072.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2005,CITY COUNCIL,9072,TEXT FILE - EXTRA LONG,$4000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,5,SALARIES AND WAGES - ON PAYROLL,$1731752.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,130,POSTAGE,$16000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,140,PROF & TECHNICAL SERVICES,$12500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,143,COURT REPORTING,$20000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,157,RENTAL EQUIPMENT AND SERVICES,$65000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,166,DUES  SUBSC & MEM,$2000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,169,TECHNICAL MEETING COSTS,$2500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,190,TELEPHONE-CENTREX,$19000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,197,TELEPHONE-MAINTENANCE,$1400.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,229,TRAN/EXP ALLOWANCE,$8000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,340,MATERIAL AND SUPPLIES,$3500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,348,BOOKS AND RELATED MTL,$3000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,350,STATIONERY AND OFFICE SUPPL,$45000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,700,CONTINGENCIES,$100.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9005,LEGAL FEES COMT FINANCE,$50000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9006,LEGAL ASSISTANCE FINANC,$50000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2010,COMMITTEE ON FINANCE,9010,TEXT FILE - EXTRA LONG,$92500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,5,SALARIES AND WAGES - ON PAYROLL,$258924.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2012,COFA,700,CONTINGENCIES,$25000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2015,LEGISLATIVE INSPECTOR GENERAL,140,PROF & TECHNICAL SERVICES,$354000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,0,PERSONNEL SERVICES,$468750.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,100,CONTRACTUAL SERVICES,$15000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,300,COMMODITIES AND MATERIALS,$12000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,400,EQUIPMENT,$9500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2214,COMMITTEE ON BUDGET/GOVNTL OPS,700,CONTINGENCIES,$15000.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,0,PERSONNEL SERVICES,$102843.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,100,CONTRACTUAL SERVICES,$200.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,300,COMMODITIES AND MATERIALS,$500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2220,COMMITTEE ON AVIATION,700,CONTINGENCIES,$750.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,0,PERSONNEL SERVICES,$102081.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,100,CONTRACTUAL SERVICES,$17500.00
Local,0100,CORPORATE FUND,15,CITY COUNCIL,2225,COMMITTEE ON LICENSES,300,COMMODITIES AND MATERIALS,$500.00
